Lat	Lon	Area_ha	S	N	min_DBH_cm	Tree_def	Notes	Numerical_ID	Plot_ID	Dataset	Ref_short	Ref_long
27.8755	117.8323	0.06	15	355	5	trees	NA	59	E13	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8756	117.83	0.06	25	388	5	trees	NA	60	E14	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8758	117.829	0.06	16	528	5	trees	NA	61	E15	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.876	117.8274	0.06	12	188	5	trees	NA	62	E16	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8763	117.8257	0.06	28	233	5	trees	NA	63	E17	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8777	117.8235	0.06	22	397	5	trees	NA	64	E18	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.877	117.8221	0.06	9	397	5	trees	NA	65	E19	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8768	117.8208	0.06	10	164	5	trees	NA	66	E20	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8739	117.819	0.06	16	191	5	trees	NA	67	E21	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8775	117.8171	0.06	12	115	5	trees	NA	68	E22	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8775	117.8156	0.06	18	154	5	trees	NA	69	E23	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.878	117.8143	0.06	13	179	5	trees	NA	70	E24	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8777	117.8116	0.06	16	130	5	trees	NA	71	E25	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.877	117.8116	0.06	8	185	5	trees	NA	72	E26	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8775	117.8101	0.06	9	298	5	trees	NA	73	E27	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8754	117.7921	0.06	4	148	5	trees	NA	74	E28	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8637	117.7921	0.01	1	11	5	trees	NA	75	E29	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8615	117.7868	0.01	3	11	5	trees	NA	76	E30	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8518	117.7774	0.01	9	30	5	trees	NA	77	N1	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8377	117.7581	0.01	4	38	5	trees	NA	78	N2	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8277	117.7479	0.04	2	112	5	trees	NA	79	N3	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8193	117.7177	0.04	5	28	5	trees	NA	80	N4	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8303	117.7197	0.06	10	54	5	trees	NA	81	N5	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8367	117.424	0.06	19	158	5	trees	NA	82	N6	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8557	117.7221	0.06	24	182	5	trees	NA	83	N7	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8554	117.701	0.06	22	99	5	trees	NA	84	N8	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8554	117.686	0.06	30	299	5	trees	NA	85	N9	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8542	117.6739	0.06	20	148	5	trees	NA	86	N10	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8615	117.6712	0.06	28	230	5	trees	NA	87	N11	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8677	117.6675	0.04	21	97	5	trees	NA	88	N12	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8748	117.6642	0.04	19	142	5	trees	NA	89	N13	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
